Chain;WEEK;QUARTER;DOVESales;FASales;NIVEASales;REXONASales;SANEXSales;VOGUESales;@8X4Sales;AXESales;DOVEPrice;FAPrice;NIVEAPrice;REXONAPrice;SANEXPrice;VOGUEPrice;@8X4Price;AXEPrice;DOVERPrice;FARPrice;NIVEARPrice;REXONARPrice;SANEXRPrice;VOGUERPrice;@8X4RPrice;AXERPrice;FADISP;NIVEADISP;REXONADISP;SANEXDISP;VOGUEDISP;@8X4DISP;DOVEDISP;AXEDISP;FAFEAT;NIVEAFEAT;REXONAFEAT;SANEXFEAT;VOGUEFEAT;@8X4FEAT;DOVEFEAT;AXEFEAT;FADF;NIVEADF;REXONADF;SANEXDF;VOGUEDF;@8X4DF;DOVEDF;AXEDF
ALBERT HEIJN;W03046;4,00;28,68;81,6;25,94;70,27;54,19;28,45;35,09;74,41;3,002092050209;1,268137254902;3,265612952968;2,982496086523;2,591252998708;2,747978910369;1,650042747221;3,673834162075;3,054018445323;1,348529411765;3,267905536198;2,989384593315;2,702429149798;2,75;1,65;3,690626717977;0,27;0,02;0,01;0;0,03;0;0;0,02;0,01;0,08;0;0;0;0;0;0,03;0,01;0,05;0;0;0;0;0;0,02
ALBERT HEIJN;W03047;4,00;35,38;68,2;25,87;70,58;57,85;28,66;40,29;71,24;2,990672696439;1,280727486066;3,264012369540;2,989090393879;2,549524632671;2,663991625960;1,646562422437;3,690342504211;3,004651162791;1,254901960784;3,264012369540;2,989090393879;2,555460750853;2,75;1,65;3,690342504211;0,27;0,03;0,00;0;0,01;0;0;0,02;0,01;0,03;0;0,04;0,01;0,01;0;0,00;0,04;0,05;0;0,01;0,01;0;0;0,00
ALBERT HEIJN;W03048;4,00;37,79;38,8;69,25;76,29;54,29;28,11;70,40;82,95;2,990473670283;1,638544891641;2,614007220217;2,989382618954;2,548719837908;2,749199573106;1,488636363636;3,689572031344;3,000000000000;1,703557312253;3,389166072701;2,989382618954;2,554390563565;2,75;1,46;3,689572031344;0,08;0,05;0,01;0;0,01;0,24;0,03;0,05;0,11;0,07;0,09;0,01;0;0;0,07;0,00;0,08;0,29;0,04;0,04;0;0;0,06;0,03
ALBERT HEIJN;W03049;4,00;32,57;27,5;54,79;72,28;51,77;23,46;57,70;76,13;2,979735953331;1,637090909091;2,859645920788;2,985473159934;2,550318717404;2,750213128730;1,485615251300;3,690398003415;2,970774091627;1,688971499380;3,381140598532;2,989967953184;2,550925925926;2,75;1,54;3,690398003415;0,06;0,31;0,02;0;0,01;0,27;0,05;0,04;0,00;0,01;0,07;0;0,05;0;0,04;0,09;0,00;0,03;0,04;0;0,02;0;0,03;0,05
ALBERT HEIJN;W03050;4,00;66,64;29,3;27,78;65,34;54,63;25,37;32,55;234,94;2,311224489796;1,675869120654;3,288696904248;2,988062442608;2,540545487827;2,749310208908;1,643932411674;2,697965437984;2,985847539402;1,688235294118;3,288696904248;2,989864864865;2,549798387097;2,75;1,65;3,641304347826;0,01;0,01;0,03;0;0,01;0;0,01;0,10;0,00;0,00;0;0;0;0;0,17;0,10;0,00;0,00;0;0;0;0;0,14;0,32
ALBERT HEIJN;W03051;4,00;40,46;35,2;27,42;71,55;58,35;25,27;27,58;146,77;2,872960949086;1,670554765292;3,280816921955;2,976659678546;2,544130248500;2,748318163831;1,649746192893;2,876950330449;2,988521453949;1,690174092653;3,280816921955;2,989658591869;2,549532386560;2,75;1,65;3,494680851064;0,02;0,02;0,00;0;0,01;0;0,06;0,30;0,00;0,00;0;0;0;0;0;0,00;0,00;0,00;0;0;0;0;0,04;0,00
ALBERT HEIJN;W03052;4,00;32,45;32,0;27,46;124,17;56,55;26,98;27,66;74,38;2,975038520801;1,679274773367;3,267662053897;2,536441974712;2,548187444739;2,728317272053;1,650036153290;3,689835977413;2,990390576565;1,679274773367;3,276861019435;2,848364717542;2,549937466500;2,73;1,65;3,697651386531;0,03;0,01;0,24;0;0,01;0;0;0,05;0,00;0,00;0;0;0;0;0,02;0,00;0,00;0,00;0;0;0;0;0,02;0,00
ALBERT HEIJN;W04001;1,00;36,78;30,9;37,76;148,50;61,63;25,04;31,34;60,30;2,989940184883;1,679611650485;2,959745762712;2,442828282828;2,531072529612;2,741214057508;1,649968091895;3,685572139303;2,989940184883;1,686746987952;3,242177453922;2,741379310345;2,549081803005;2,75;1,65;3,690077103587;0,01;0,02;0,31;0;0,01;0;0;0,02;0,00;0,00;0;0;0;0;0;0,00;0,00;0,00;0;0;0;0;0;0,00
ALBERT HEIJN;W04002;1,00;37,69;32,5;95,45;82,34;65,89;25,79;33,11;64,76;2,991244361900;1,688403568133;2,527501309586;2,989191158611;2,550311124602;2,747188832881;1,631229235880;3,680975911056;2,991244361900;1,688403568133;3,090435914118;2,989476321724;2,550311124602;2,75;1,63;3,690550202052;0,01;0,24;0,06;0;0,00;0;0;0,01;0,00;0,00;0,01;0,01;0;0;0;0,00;0,00;0,00;0,05;0,03;0;0;0;0,00
ALBERT HEIJN;W04003;1,00;33,87;32,1;92,46;66,33;53,90;25,73;37,02;69,10;2,985828166519;1,690364826941;2,503028336578;2,990502035278;2,549721706865;2,748542557326;1,649918962723;3,690014471780;2,990225118483;1,690364826941;3,390862944162;2,990502035278;2,549721706865;2,75;1,65;3,690014471780;0,01;0,29;0,03;0,04;0,00;0;0;0,00;0,02;0,00;0,04;0;0;0;0;0,00;0,01;0,00;0,05;0,05;0;0;0;0,00
